task_id,uncertainty_level,uncertainty_value,task_description,condition,trial_id,timestamp,total_tokens,total_time,coordinator_tokens,coordinator_time,synthesis_tokens,synthesis_time,coordination_overhead_tokens,coordination_overhead_pct,worker_A_style,worker_A_tokens,worker_A_time,worker_A_output_length,worker_B_style,worker_B_tokens,worker_B_time,worker_B_output_length,worker_C_style,worker_C_tokens,worker_C_time,worker_C_output_length,final_output_length,success,quality_score
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,ST,1,2026-06-01T12:14:47.759567,6639,101.62,980,14.62,2039,25.63,3019,45.5,S1_TELLING,919,17.08,829,S1_TELLING,1350,20.36,455,S1_TELLING,1351,23.93,0,1314,True,4
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,ST,2,2026-06-01T12:15:52.437430,7165,105.57,980,14.8,2807,27.03,3787,52.9,S1_TELLING,1072,20.65,941,S1_TELLING,1246,22.72,946,S1_TELLING,1060,20.38,412,1556,True,4
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,ST,3,2026-06-01T12:16:57.482523,6843,105.4,980,15.87,2762,28.66,3742,54.7,S1_TELLING,1117,21.96,969,S1_TELLING,1084,21.12,853,S1_TELLING,900,17.79,529,1493,True,4
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,ST,4,2026-06-01T12:18:04.474603,7407,112.39,980,15.7,3095,31.7,4075,55.0,S1_TELLING,1078,19.97,889,S1_TELLING,903,17.73,727,S1_TELLING,1351,27.29,1134,1745,True,4
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,ST,5,2026-06-01T12:19:19.673417,7152,105.28,980,13.45,2594,28.24,3574,50.0,S1_TELLING,1245,22.69,664,S1_TELLING,1062,18.99,886,S1_TELLING,1271,21.91,638,1634,True,4
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,AOM-DT,1,2026-06-01T12:20:24.553951,8804,130.79,980,16.1,3817,28.57,4797,54.5,S1_TELLING,1349,28.49,1406,S3_PARTICIPATING,1332,29.55,1317,S4_DELEGATING,1326,28.08,1369,1720,True,4
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,AOM-DT,2,2026-06-01T12:21:39.277145,8008,121.5,980,15.15,3021,24.72,4001,50.0,S1_TELLING,1349,26.59,435,S3_PARTICIPATING,1332,25.16,1414,S4_DELEGATING,1326,29.87,1279,1357,True,4
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,AOM-DT,3,2026-06-01T12:22:49.528810,6334,101.72,821,13.71,2177,23.95,2998,47.3,S1_TELLING,973,17.06,737,S3_PARTICIPATING,1340,27.69,29,S4_DELEGATING,1023,19.31,811,1360,True,4
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,AOM-DT,4,2026-06-01T12:23:55.378163,7321,111.62,980,15.41,2867,26.57,3847,52.5,S1_TELLING,999,19.11,759,S3_PARTICIPATING,1332,26.33,1180,S4_DELEGATING,1143,24.2,828,1393,True,4
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,AOM-DT,5,2026-06-01T12:25:04.190734,7737,113.19,980,14.57,3221,28.99,4201,54.3,S1_TELLING,878,16.12,883,S3_PARTICIPATING,1332,24.54,1047,S4_DELEGATING,1326,28.98,1093,1582,True,4
