task_id,uncertainty_level,uncertainty_value,task_description,condition,agent_id,agent_name,readiness_score,selected_style,execution_time_seconds,token_consumed,success,output_quality,output_length,error_message,run_id
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,ST,agent_002,成长期Agent,0.54,S1_TELLING,33.21,1720,True,3,1682,,1
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,ST,agent_002,成长期Agent,0.54,S1_TELLING,36.24,1720,True,3,1812,,2
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,29.62,1285,True,3,1620,,1
L1,low,0.1,2025年获得A轮融资的中国AI Agent公司有哪些？请列出至少3家及其融资金额。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,38.07,1594,True,3,1580,,2
L2,low,0.1,GPT-4o支持的最大上下文窗口是多少tokens？请给出准确数字。,ST,agent_002,成长期Agent,0.54,S1_TELLING,32.42,1708,True,3,1918,,1
L2,low,0.1,GPT-4o支持的最大上下文窗口是多少tokens？请给出准确数字。,ST,agent_002,成长期Agent,0.54,S1_TELLING,32.97,1708,True,3,2082,,2
L2,low,0.1,GPT-4o支持的最大上下文窗口是多少tokens？请给出准确数字。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,12.0,691,True,3,1007,,1
L2,low,0.1,GPT-4o支持的最大上下文窗口是多少tokens？请给出准确数字。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,10.64,589,True,3,796,,2
L3,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,ST,agent_002,成长期Agent,0.54,S1_TELLING,28.44,1716,True,3,667,,1
L3,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,ST,agent_002,成长期Agent,0.54,S1_TELLING,32.69,1716,True,3,201,,2
L3,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,28.14,1590,True,3,3695,,1
L3,low,0.1,Python 3.12中新增的type语句的具体语法是什么？请给出代码示例。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,30.37,1590,True,3,2579,,2
L4,low,0.1,Linux内核6.6版本的主要新特性有哪些？请列出至少3个。,ST,agent_002,成长期Agent,0.54,S1_TELLING,36.08,1708,True,3,1574,,1
L4,low,0.1,Linux内核6.6版本的主要新特性有哪些？请列出至少3个。,ST,agent_002,成长期Agent,0.54,S1_TELLING,37.88,1708,True,3,1409,,2
L4,low,0.1,Linux内核6.6版本的主要新特性有哪些？请列出至少3个。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,28.91,1443,True,3,2080,,1
L4,low,0.1,Linux内核6.6版本的主要新特性有哪些？请列出至少3个。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,25.54,1186,True,3,686,,2
L5,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,ST,agent_002,成长期Agent,0.54,S1_TELLING,29.79,1704,True,3,938,,1
L5,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,ST,agent_002,成长期Agent,0.54,S1_TELLING,32.08,1573,True,3,1740,,2
L5,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,9.74,511,True,3,771,,1
L5,low,0.1,Docker和Kubernetes的区别是什么？请用一句话概括各自的核心功能。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,12.14,656,True,3,1021,,2
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,ST,agent_002,成长期Agent,0.54,S1_TELLING,34.15,1726,True,3,2073,,1
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,ST,agent_002,成长期Agent,0.54,S1_TELLING,33.32,1726,True,3,2082,,2
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,33.12,1600,True,3,2238,,1
M1,medium,0.5,比较AutoGen和CrewAI在Agent协作设计上的主要区别，从架构、灵活性、易用性三个维度分析。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,27.44,1600,True,3,4026,,2
M2,medium,0.5,AI Agent在医疗和金融两个行业的应用场景有何异同？从数据敏感性、监管要求、容错率三个角度分析。,ST,agent_002,成长期Agent,0.54,S1_TELLING,33.9,1728,True,3,2009,,1
M2,medium,0.5,AI Agent在医疗和金融两个行业的应用场景有何异同？从数据敏感性、监管要求、容错率三个角度分析。,ST,agent_002,成长期Agent,0.54,S1_TELLING,34.6,1728,True,3,1635,,2
M2,medium,0.5,AI Agent在医疗和金融两个行业的应用场景有何异同？从数据敏感性、监管要求、容错率三个角度分析。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,34.3,1602,True,3,2549,,1
M2,medium,0.5,AI Agent在医疗和金融两个行业的应用场景有何异同？从数据敏感性、监管要求、容错率三个角度分析。,AOM-DT,agent_002,成长期Agent,0.54,S3_PARTICIPATING,33.18,1602,True,3,2556,,2
M3,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,ST,agent_002,成长期Agent,0.54,S1_TELLING,34.76,1718,True,3,1747,,1
M3,medium,0.5,分析RAG（检索增强生成）技术的优缺点，以及它在企业知识管理中的适用场景。,ST,agent_002,成长期Agent,0.54,S1_TELLING,35.08,1718,True,3,2076,,2
